Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Honda,City,2001,23,98000.0,Manual,second,Petrol,195000
Toyota,Innova,2009,15,190000.0,Manual,second,Diesel,375000
Volkswagen,VentoTest,2010,14,77246.0,Manual,first,Diesel,184999
Maruti Suzuki,Swift,2017,7,83500.0,Manual,second,Diesel,565000
Maruti Suzuki,Baleno,2019,5,45000.0,Automatic,first,Petrol,685000
BMW,X3,2014,10,83000.0,Automatic,first,Diesel,1350000
Toyota,Innova,2014,10,168000.0,Manual,second,Diesel,1025000
BMW,5 Series,2019,5,25000.0,Automatic,second,Diesel,5950000
Maruti Suzuki,maruti-suzuki-dzire,2020,4,33759.0,Manual,second,Petrol,622000
Ford,Ecosport,2017,7,69713.0,Manual,second,Petrol,649000
Maruti Suzuki,Alto-K10,2018,6,70000.0,Automatic,first,Petrol,395000
Kia,Carnival,2021,3,25000.0,Automatic,first,Diesel,2900000
Maruti Suzuki,Swift-Dzire,2012,12,72700.0,Manual,second,Petrol,240000
Toyota,Corolla,2007,17,121931.0,Automatic,second,Petrol,201350
Mercedes-Benz,GLE COUPE,2021,3,32000.0,Automatic,second,Petrol,11800000
Hyundai,Xcent,2018,6,130000.0,Manual,second,Diesel,330000
Kia,Seltos,2020,4,68000.0,Manual,first,Diesel,1045000
Maruti Suzuki,Ertiga,2016,8,65000.0,Manual,second,Diesel,785000
Maruti Suzuki,Ertiga,2017,7,59000.0,Automatic,second,Petrol,555000
BMW,3 Series GT,2015,9,61000.0,Automatic,second,Diesel,1500000
Ford,Endeavour,2019,5,77000.0,Automatic,second,Diesel,2399000
Toyota,Innova Crysta,2017,7,107000.0,Automatic,first,Diesel,1325000
Honda,City,2010,14,99000.0,Manual,first,Petrol,295000
Audi,A3,2015,9,42000.0,Automatic,second,Diesel,1050000
Renault,KWID,2019,5,48073.0,Automatic,second,Petrol,355000
MG,Hector,2019,5,32618.0,Automatic,first,Petrol,1250000
Maruti Suzuki,Swift-Dzire,2012,12,70000.0,Manual,second,Diesel,315000
Maruti Suzuki,Celerio,2014,10,51000.0,Automatic,second,Petrol,345000
Maruti Suzuki,Vitara-Brezza,2018,6,137000.0,Manual,first,Diesel,845000
Toyota,2.8 Legender 4X2,2023,1,1996.0,Automatic,first,Diesel,4195000
Toyota,Innova Crysta,2017,7,90000.0,Manual,second,Diesel,1950000
Toyota,Innova,2011,13,84000.0,Manual,second,Diesel,490000
Volvo,S90,2018,6,53000.0,Automatic,first,Diesel,2950000
Hyundai,Venue,2021,3,17000.0,Manual,first,Petrol,685000
Maruti Suzuki,Ertiga,2018,6,70000.0,Manual,second,Petrol,749000
Hyundai,Creta,2023,1,5000.0,Automatic,first,Petrol,1600000
Hyundai,Alcazar,2022,2,47110.0,Manual,second,Diesel,1695000
Hyundai,i20,2019,5,35000.0,Manual,first,Petrol,585000
Mercedes-Benz,E-Class,2019,5,101570.0,Automatic,first,Diesel,4200000
Volkswagen,Polo,2021,3,42000.0,Manual,second,Petrol,675000
Maruti Suzuki,Baleno,2018,6,30000.0,Manual,second,Petrol,630000
Hyundai,Verna,2016,8,82100.0,Manual,second,Diesel,465000
Audi,A4,2012,12,90000.0,Automatic,second,Diesel,899000
Toyota,Fortuner,2011,13,193000.0,Manual,second,Diesel,1125000
Mercedes-Benz,C-Class,2015,9,65000.0,Automatic,first,Diesel,1750000
Hyundai,Creta,2022,2,30000.0,Automatic,second,Petrol,1690000
Maruti Suzuki,Swift-Dzire,2020,4,94856.0,Manual,first,Petrol,690000
Skoda,Kushaq,2023,1,12000.0,Automatic,first,Petrol,1800000
Maruti Suzuki,Ciaz,2018,6,0.0,Manual,first,Petrol,500000
Tata,Safari,2010,14,500000.0,Manual,first,Diesel,800000
Toyota,Innova Crysta,2018,6,118000.0,Automatic,first,Diesel,1795000
Mercedes-Benz,C-Class,2016,8,41000.0,Automatic,second,Petrol,2000000
Honda,City,2010,14,79000.0,Manual,second,Petrol,290000
Honda,BRV,2016,8,103001.0,Manual,second,Diesel,555555
Hyundai,Creta,2017,7,70000.0,Manual,second,Petrol,765000
Renault,Duster,2018,6,130000.0,Manual,first,Diesel,690000
Maruti Suzuki,Wagon-R,2011,13,78000.0,Manual,second,Petrol,225000
Toyota,Fortuner,2017,7,115000.0,Automatic,second,Diesel,2390000
Mahindra,Bolero Power Plus,2017,7,160000.0,Manual,second,Diesel,550000
Hyundai,Eon,2017,7,27000.0,Manual,second,Petrol,300000
MG,Hector Plus,2020,4,81600.0,Automatic,first,Petrol,1021000
Hyundai,Creta,2017,7,54000.0,Automatic,first,Petrol,811000
Mahindra,XUV500,2018,6,76000.0,Manual,first,Diesel,1125000
Mercedes-Benz,GLS,2014,10,86000.0,Automatic,first,Diesel,3000000
Hyundai,i10,2011,13,65000.0,Manual,second,Petrol,115000
Mercedes-Benz,GLA Class,2018,6,60000.0,Automatic,second,Diesel,1450000
Kia,Carens,2023,1,24000.0,Manual,first,Petrol,1225000
Toyota,Innova,2011,13,100231.0,Manual,second,Diesel,429101
Maruti Suzuki,Ignis,2023,1,13000.0,Manual,second,Petrol,610000
Hyundai,Grand i10,2017,7,47000.0,Manual,first,Petrol,519999
Hyundai,Getz Prime,2007,17,115031.0,Manual,second,Petrol,140000
Maruti Suzuki,Swift,2014,10,67000.0,Manual,first,Petrol,280000
Hyundai,Xcent,2016,8,74500.0,Manual,first,Diesel,425000
Honda,City,2016,8,93000.0,Automatic,second,Petrol,575000
Maruti Suzuki,Ritz,2015,9,59000.0,Manual,first,Petrol,295000
Toyota,Innova Crysta,2017,7,79000.0,Automatic,second,Diesel,1725000
Hyundai,Verna,2022,2,69000.0,Automatic,first,Diesel,1250000
Hyundai,Creta,2015,9,76000.0,Automatic,second,Diesel,650000
Kia,Sonet,2020,4,34500.0,Automatic,first,Petrol,935000
Ford,Ecosport,2016,8,130000.0,Manual,second,Diesel,400000
Mercedes-Benz,GLC Coupe,2022,2,20000.0,Automatic,first,Diesel,7500000
Mahindra,Scorpio-N,2023,1,15905.0,Automatic,first,Diesel,2350000
Toyota,Innova Crysta,2021,3,21000.0,Manual,first,Diesel,2125000
Mini,Cooper 3 DOOR,2019,5,13000.0,Automatic,first,Petrol,3950000
Maruti Suzuki,Ertiga,2015,9,75000.0,Manual,first,Diesel,435000
Volkswagen,Polo,2012,12,80000.0,Manual,second,Diesel,300000
Maruti Suzuki,Wagon-R,2016,8,50000.0,Manual,first,Petrol,245000
Tata,Nexon,2022,2,40000.0,Automatic,second,Petrol,680000
Maruti Suzuki,Ritz,2013,11,87000.0,Manual,first,Diesel,385000
Toyota,Etios,2015,9,155000.0,Manual,second,Diesel,589000
Volkswagen,CrossPolo,2014,10,80000.0,Manual,second,Diesel,425000
Maruti Suzuki,Wagon-R,2014,10,84000.0,Manual,second,Petrol,265000
Volkswagen,Polo,2021,3,18000.0,Automatic,first,Petrol,850000
Maruti Suzuki,Baleno,2017,7,47000.0,Automatic,first,Petrol,575000
Volkswagen,Vento,2011,13,134000.0,Manual,first,Diesel,425000
Maruti Suzuki,Alto-K10,2011,13,82000.0,Manual,first,Petrol,180000
Maruti Suzuki,Celerio,2015,9,35000.0,Automatic,first,Petrol,425000
Renault,Duster,2015,9,150000.0,Automatic,second,Diesel,450000
Toyota,Fortuner,2012,12,132000.0,Manual,first,Diesel,1095000
Land Rover,Range Rover Evoque,2017,7,130000.0,Automatic,second,Petrol,2500000
Maruti Suzuki,Ertiga,2020,4,59000.0,Automatic,first,Petrol,980000
Tata,Nexon,2018,6,95000.0,Automatic,second,Petrol,575000
Tata,Indigo Ecs,2016,8,115000.0,Manual,second,Diesel,110000
Mahindra,Thar,2022,2,11000.0,Manual,first,Diesel,1675000
Toyota,Camry,2015,9,68000.0,Automatic,second,Petrol,1185000
Skoda,Kushaq,2021,3,74000.0,Automatic,first,Petrol,1199000
Maruti Suzuki,Ritz,2012,12,88000.0,Manual,first,Petrol,385000
Hyundai,Grand i10,2014,10,47000.0,Automatic,second,Petrol,455000
Mahindra,Bolero,2015,9,16.0,Manual,first,Diesel,390000
Honda,Brio,2012,12,68000.0,Manual,first,Petrol,235000
Honda,City ZX,2007,17,115000.0,Manual,second,Petrol,265000
Hyundai,i10,2011,13,50000.0,Manual,second,Petrol,150000
Honda,WRV,2017,7,98000.0,Manual,first,Diesel,600000
Land Rover,Discovery Sport,2019,5,62000.0,Automatic,first,Diesel,3099000
Tata,Harrier,2019,5,67000.0,Manual,second,Diesel,899000
Tata,Zest,2015,9,69000.0,Manual,second,Petrol,340000
Maruti Suzuki,Eeco,2021,3,49000.0,Manual,first,Petrol,540000
Maruti Suzuki,Swift-Dzire,2013,11,162000.0,Manual,second,Diesel,390000
Toyota,Fortuner,2018,6,86000.0,Manual,first,Diesel,2499000
Hyundai,Creta,2023,1,35000.0,Automatic,first,Diesel,2025000
Maruti Suzuki,Wagon-R,2014,10,38000.0,Manual,first,Petrol,370000
Hyundai,Creta,2020,4,105000.0,Manual,first,Diesel,1050000
Toyota,2.8 Legender 4X2,2022,2,25500.0,Automatic,first,Diesel,4199999
Maruti Suzuki,Swift Dzire,2015,9,67000.0,Manual,first,Petrol,450000
Volkswagen,VentoTest,2016,8,78000.0,Automatic,first,Petrol,555000
Toyota,Innova,2006,18,191000.0,Manual,first,Diesel,295000
Hyundai,Creta,2018,6,66000.0,Automatic,second,Petrol,1075000
Toyota,Innova Crysta,2016,8,75000.0,Manual,first,Diesel,1480000
Maruti Suzuki,Vitara-Brezza,2018,6,85600.0,Manual,first,Diesel,750000
Maruti Suzuki,Ertiga,2012,12,155000.0,Manual,second,Diesel,650000
Hyundai,i10,2010,14,46000.0,Manual,second,Petrol,78000
Maruti Suzuki,Ciaz,2015,9,68000.0,Manual,first,Petrol,330000
Ford,Ecosport,2018,6,73000.0,Automatic,first,Petrol,590000
Honda,City,2011,13,74000.0,Automatic,second,Petrol,375000
Maruti Suzuki,Swift,2018,6,65000.0,Automatic,second,Petrol,590000
Audi,A4,2021,3,50000.0,Automatic,first,Petrol,3250000
Honda,City,2014,10,61000.0,Automatic,first,Petrol,685000
Maruti Suzuki,Swift,2005,19,98000.0,Manual,second,Petrol,160000
Mahindra,XUV500,2017,7,76000.0,Automatic,second,Diesel,760000
Mahindra,XUV500,2016,8,89100.0,Manual,second,Diesel,760000
Volkswagen,Polo,2018,6,73961.0,Automatic,second,Petrol,935000
Ford,Endeavour,2019,5,60000.0,Automatic,first,Diesel,2740000
Mahindra,Thar,2018,6,46850.0,Manual,second,Diesel,880000
Mahindra,Thar,2023,1,28000.0,Automatic,first,Diesel,1785000
Mahindra,XUV500,2013,11,99000.0,Manual,second,Diesel,470000
Maruti Suzuki,Sx4,2009,15,56328.0,Manual,first,Petrol,265000
Hyundai,Creta,2018,6,127000.0,Manual,first,Diesel,995000
Mercedes-Benz,C-Class,2013,11,78000.0,Automatic,second,Petrol,790000
Toyota,Innova Crysta,2022,2,31000.0,Automatic,first,Diesel,2700000
Skoda,Kodiaq,2020,4,57000.0,Automatic,first,Diesel,3045000
Ford,Endeavour,2017,7,70000.0,Automatic,second,Diesel,2650000
Hyundai,Eon,2014,10,41453.0,Manual,second,Petrol,220000
Tata,Altroz,2021,3,33000.0,Manual,first,Petrol,545000
Maruti Suzuki,Celerio,2018,6,37000.0,Automatic,second,Petrol,460000
Volkswagen,Polo,2015,9,65000.0,Manual,first,Petrol,375000
Hyundai,Grand i10 Nios,2022,2,36000.0,Automatic,first,Petrol,690000
Toyota,Camry,2016,8,130000.0,Automatic,second,Petrol,1399999
Maruti Suzuki,Alto-800,2013,11,100000.0,Manual,second,Petrol,160000
BMW,X1,2016,8,93000.0,Automatic,first,Diesel,2100000
Hyundai,Creta,2019,5,48000.0,Manual,first,Diesel,1065000
BMW,X5,2016,8,63000.0,Automatic,second,Diesel,2290000
Hyundai,i20,2015,9,85000.0,Manual,second,Diesel,560000
Skoda,Rapid,2017,7,70000.0,Automatic,first,Diesel,750000
Hyundai,Verna,2013,11,59000.0,Manual,second,Petrol,425000
Mahindra,TUV,2015,9,72000.0,Automatic,second,Diesel,390000
Mercedes-Benz,E-Class,2012,12,74000.0,Automatic,second,Diesel,1295000
Honda,City,2018,6,78127.0,Manual,first,Diesel,785000
Maruti Suzuki,Ciaz,2020,4,26000.0,Manual,first,Petrol,775000
Renault,KWID,2017,7,65663.0,Automatic,second,Petrol,325000
BMW,5 Series,2018,6,24000.0,Automatic,first,Petrol,4199000
Toyota,Fortuner,2015,9,160000.0,Automatic,second,Diesel,1250000
Volkswagen,Polo,2020,4,79000.0,Manual,second,Petrol,725000
Maruti Suzuki,Baleno,2018,6,31000.0,Manual,first,Petrol,549000
